449 MSEC,ICOUNT,time,ft/s
0.007,0,7E-06,0
8.962,0,0.008962,0
28.366,1,0.028366,0.2147323575895
48.24,5,0.04824,0.838616618026903
68.559,9,0.068559,0.820250340403891
89.032,15,0.089032,1.22112050017096
108.495,22,0.108495,1.4985699361181
128.354,29,0.128354,1.46868758077782
148.377,37,0.148377,1.66475220163479
168.782,47,0.168782,2.04198317405865
189.169,56,0.189169,1.83940746554177
208.621,65,0.208621,1.92782233189389
228.783,78,0.228783,2.68657209932877
248.609,92,0.248609,2.94226436665658
268.492,107,0.268492,3.14338882462405
288.388,124,0.288388,3.56017960058974
309.037,144,0.309037,4.03570794388752
328.856,165,0.328856,4.41495534588021
348.657,188,0.348657,4.83982290456711
369,212,0.369,4.91569581674286
388.561,236,0.388561,5.11221307704106
408.479,263,0.408479,5.64815744552666
430.023,293,0.430023,5.80207946528035
448.773,320,0.448773,6
469.105,351,0.469105,6.3528755983999
488.327,383,0.488327,6.93649637568065
508.906,417,0.508906,6.88404036477315
529.073,453,0.529073,7.43789358853574
548.922,488,0.548922,7.34713755520847
569.184,525,0.569184,7.6086598887902
589.263,563,0.589263,7.88551886714143
608.945,603,0.608945,8.46797412187108
629.382,644,0.629382,8.35902203519764
649.046,685,0.649046,8.68761866015726
669.46,728,0.66946,8.7766565428954
689.844,773,0.689844,9.19839089481946
709.135,816,0.709135,9.28757797245696
728.756,861,0.728756,9.55608786504257
749.532,909,0.749532,9.62649210627644
769.085,956,0.769085,10.0155133909545
789.336,1005,0.789336,10.0818066597534
809.002,1053,0.809002,10.1698362656362
828.77,1101,0.82877,10.1173613921489
849.299,1153,0.849299,10.5541753941579
868.782,1204,0.868782,10.9069445157316
889.044,1257,0.889044,10.8988911920508
908.721,1309,0.908721,11.0111636258915
928.447,1362,0.928447,11.195038696813
948.383,1417,0.948383,11.4951177100053
968.745,1473,0.968745,11.4592541662574
988.398,1528,0.988398,11.6606455333367
1008.612,1585,1.008612,11.7492826753735
1028.387,1642,1.028387,12.0101137800253
1048.918,1702,1.048918,12.1767083921875
1068.877,1760,1.068877,12.1081550511882
1088.747,1817,1.088747,11.9526925012581
1111.238,1884,1.111238,12.41237235635
1128.924,1939,1.128924,12.9575181876438
1148.87,1999,1.14887,12.5338413717037
1169.561,2062,1.169561,12.6866753661012
1189.239,2122,1.189239,12.7045431446284
1213.06,2198,1.21306,13.2935924884206
1229.267,2248,1.229267,12.8545278789
1249.05,2309,1.24905,12.8477312170383
1269.3,2373,1.2693,13.1687242798354
1289.324,2438,1.289324,13.5254361432946
1309.232,2503,1.309232,13.604246199183
1328.88,2565,1.32888,13.148072747014
1348.712,2630,1.348712,13.656380260858
1369.294,2696,1.369294,13.3611893887863
1389.366,2762,1.389366,13.7006775607813
1408.747,2827,1.408747,13.9741671396384
1429.687,2898,1.429687,14.1276663482968
1449.326,2965,1.449326,14.214912504031
1468.926,3032,1.468926,14.2431972789116
1488.201,3098,1.488201,14.2671854734111
1508.339,3168,1.508339,14.4833978879068
